ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,level_0,Adj Close,snp500,nasdaq100,dow30,ipo,index,sma_5,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time,fiftytwo_week_high,fiftytwo_week_low,sma_10,sma_21,sma_50,sma_200,rsi,atr,atr%,gap,up_3_days,down_3_days
GOOGL,327.93,-0.79,-2.61,27.25,2026-01-23,250,,True,True,False,False,False,327.77,330.54,2026-01-22,322.0,2026-01-20,1.84,335.97,2026-01-13,314.34,2026-01-06,4.06,335.97,2026-01-13,314.34,2026-01-06,4.06,335.97,2026-01-13,2.48,2004-09-03,13058.36,335.97,144.3,330.39,322.84,312.71,229.67,62.69,8.07,2.46,1.95,False,False
HON,221.46,-0.49,-1.08,3.82,2026-01-23,250,,True,True,True,False,False,219.53,222.54,2026-01-22,215.07,2026-01-20,2.97,222.54,2026-01-22,195.88,2026-01-02,13.06,222.54,2026-01-22,195.88,2026-01-02,13.06,224.06,2025-07-03,0.43,1970-05-25,22607.8,224.06,169.57,215.2,206.52,199.27,201.67,77.07,4.99,2.25,-0.57,False,False
IDXX,693.85,0.41,2.8,0.28,2026-01-23,250,,True,True,False,False,False,696.55,696.46,2026-01-21,686.02,2026-01-20,1.14,724.76,2026-01-12,669.99,2026-01-02,3.56,724.76,2026-01-12,669.99,2026-01-02,3.56,766.68,2025-11-25,0.84,1991-08-19,73298.97,766.68,361.04,705.75,697.58,705.46,602.97,59.45,18.4,2.65,-1.23,False,False
INSM,156.21,-2.61,-4.18,2.51,2026-01-23,250,,False,True,False,False,False,159.57,163.51,2026-01-20,156.21,2026-01-23,-4.46,177.12,2026-01-02,156.21,2026-01-23,-11.81,177.12,2026-01-02,156.21,2026-01-23,-11.81,211.41,2025-12-01,2.64,2011-11-25,-5.33,211.41,64.81,162.8,169.44,185.59,132.03,29.42,7.84,5.02,-0.37,False,False
INTC,45.07,-17.03,-9.25,293.19,2026-01-23,250,,True,True,False,False,False,49.83,54.32,2026-01-22,45.07,2026-01-23,-7.19,54.32,2026-01-22,39.37,2026-01-05,14.45,54.32,2026-01-22,39.37,2026-01-05,14.45,62.08,2021-04-09,0.12,1982-01-13,24731.99,54.32,18.13,48.31,43.11,40.04,29.16,58.43,3.58,7.94,-7.46,False,False
INTU,563.97,2.97,16.28,3.27,2026-01-23,250,,True,True,False,False,False,542.16,563.97,2026-01-23,524.92,2026-01-21,6.62,651.55,2026-01-08,524.92,2026-01-21,-10.24,651.55,2026-01-08,524.92,2026-01-21,-10.24,804.44,2025-07-30,1.78,1993-04-21,24094.45,804.44,524.92,571.96,616.79,638.57,679.52,32.98,21.79,3.86,-0.87,False,False
ISRG,523.99,-0.35,-1.82,2.8,2026-01-23,250,,True,True,False,False,False,527.19,527.44,2026-01-20,523.69,2026-01-21,-0.65,592.85,2026-01-06,523.69,2026-01-21,-6.76,592.85,2026-01-06,523.69,2026-01-21,-6.76,610.45,2025-01-22,0.74,2001-04-11,25740.6,608.48,429.59,544.48,561.43,562.43,515.66,32.13,15.69,2.99,4.19,False,False
KDP,27.76,0.76,0.21,9.76,2026-01-23,250,,True,True,False,False,False,27.67,27.95,2026-01-20,27.55,2026-01-22,-0.68,28.12,2026-01-14,27.25,2026-01-07,0.11,28.12,2026-01-14,27.25,2026-01-07,0.11,36.47,2022-08-16,1.27,2009-03-09,920.7,34.86,25.09,27.76,27.7,27.75,30.04,50.44,0.57,2.04,0.02,False,False
KHC,23.2,2.11,0.48,14.25,2026-01-23,250,,True,True,False,False,False,23.12,23.76,2026-01-20,22.4,2026-01-21,-2.36,24.39,2026-01-02,22.4,2026-01-21,-4.88,24.39,2026-01-02,22.4,2026-01-21,-4.88,64.09,2017-02-17,15.33,2020-03-12,-49.52,30.79,22.4,23.45,23.68,24.24,25.67,40.0,0.65,2.79,-0.04,False,False
KLAC,1512.78,0.85,12.78,1.01,2026-01-23,250,,True,True,False,False,False,1517.36,1520.0,2026-01-21,1486.18,2026-01-20,1.79,1567.82,2026-01-16,1274.47,2026-01-02,18.7,1567.82,2026-01-16,1274.47,2026-01-02,18.7,1567.82,2026-01-16,0.32,1982-03-11,248591.68,1567.82,572.94,1483.62,1385.09,1269.41,996.73,69.96,64.65,4.27,-15.77,False,False
LIN,451.57,1.33,5.93,1.64,2026-01-23,250,,True,True,False,False,False,441.73,451.57,2026-01-23,433.15,2026-01-20,4.25,451.57,2026-01-23,429.11,2026-01-02,5.23,451.57,2026-01-23,429.11,2026-01-02,5.23,481.82,2025-09-11,3.96,1992-07-08,9867.45,481.82,389.38,441.93,435.65,421.62,449.28,72.25,7.37,1.63,-2.4,True,False
LRCX,217.94,-1.25,-2.76,10.15,2026-01-23,250,,True,True,False,False,False,222.48,228.39,2026-01-21,217.94,2026-01-23,-2.01,228.39,2026-01-21,185.06,2026-01-02,17.77,228.39,2026-01-21,185.06,2026-01-02,17.77,228.39,2026-01-21,0.06,1990-08-23,115278.88,228.39,58.73,219.18,201.62,175.94,122.19,68.25,11.49,5.27,-2.83,False,False
MAR,319.7,-0.61,-1.97,1.37,2026-01-23,250,,True,True,False,False,False,320.33,321.67,2026-01-22,313.84,2026-01-20,1.87,328.18,2026-01-09,311.03,2026-01-05,2.01,328.18,2026-01-09,311.03,2026-01-05,2.01,328.18,2026-01-09,7.23,1998-10-06,2354.51,328.18,209.55,322.16,318.83,305.96,272.59,55.13,8.12,2.54,-2.36,False,False
MCHP,74.71,-1.01,-0.76,7.55,2026-01-23,250,,True,True,False,False,False,74.85,76.2,2026-01-21,73.17,2026-01-20,2.1,76.2,2026-01-21,65.03,2026-01-02,14.89,76.2,2026-01-21,65.03,2026-01-02,14.89,95.26,2024-05-22,0.17,1993-03-22,41967.13,76.2,34.52,74.61,70.91,64.02,62.21,71.49,2.92,3.92,0.31,False,False
MDLZ,58.4,1.42,0.82,10.55,2026-01-23,250,,True,True,False,False,False,57.71,58.4,2026-01-23,57.35,2026-01-21,0.71,58.4,2026-01-23,51.51,2026-01-07,8.85,58.4,2026-01-23,51.51,2026-01-07,8.85,72.69,2023-05-11,9.13,2009-03-05,419.31,69.54,51.51,56.9,55.2,55.11,61.29,71.69,1.31,2.24,-0.09,False,False
MELI,2137.29,-0.76,-16.46,0.47,2026-01-23,250,,False,True,False,False,False,2091.73,2153.75,2026-01-22,2034.82,2026-01-20,5.04,2187.04,2026-01-06,1973.7,2026-01-02,8.29,2187.04,2026-01-06,1973.7,2026-01-02,8.29,2613.63,2025-06-30,8.02,2008-11-20,7639.2,2613.63,1794.73,2106.13,2083.91,2054.16,2275.67,63.81,80.91,3.79,-8.75,False,False
META,658.76,1.72,11.13,22.77,2026-01-23,250,,True,True,False,False,False,628.74,658.76,2026-01-23,604.12,2026-01-20,9.04,660.62,2026-01-06,604.12,2026-01-20,1.28,660.62,2026-01-06,604.12,2026-01-20,1.28,788.82,2025-08-12,17.61,2012-09-04,1635.19,788.82,483.57,630.62,645.3,639.43,676.8,52.86,17.54,2.66,-2.86,True,False
MNST,82.0,1.37,1.11,4.39,2026-01-23,250,,True,True,False,False,False,80.83,82.0,2026-01-23,80.89,2026-01-22,0.65,82.0,2026-01-23,75.67,2026-01-05,7.67,82.0,2026-01-23,75.67,2026-01-05,7.67,82.0,2026-01-23,0.01,1995-12-14,123051.47,82.0,46.16,79.3,77.97,75.5,66.25,80.29,1.66,2.03,-0.25,False,False
